word,cefr_level,source,pos,meaning_ko,meaning_en,forms,category,word_code,sense_code,synonyms
newspaper,A2,LCMS_0729_0727_wordmeta,Noun,신문,big papers with news and stories to read,newspapers,Technology & Media,W000000043,S000000001,"paper,gazette"
hang,B1,LCMS_0729_0727_wordmeta,Verb,"무언가를 걸다, 매달다",to put something up so it stays there,"hung,hangs,hanging",Actions & Verbs,W000000045,S000000001,"dangle,suspend"
hang,B1,LCMS_0729_0727_wordmeta,Verb,어딘가에 매달려 있다,to be held at the top and stay there,"hung,hangs,hanging",Actions & Verbs,W000000045,S000000002,"dangle,suspend"
role,B1,LCMS_0729_0727_wordmeta,Noun,배역,a part played by an actor,roles,Society & Community,W000000046,S000000001,"part,character"
role,B1,LCMS_0729_0727_wordmeta,Noun,"역할, 임무",the job or part someone has,roles,Society & Community,W000000046,S000000002,"part,character"
cliff,B1,LCMS_0729_0727_wordmeta,Noun,"절벽, 낭떠러지",a very high rock that goes straight down,cliffs,Nature & Weather,W000000048,S000000001,"precipice,rock face"
roll,B1,LCMS_0729_0727_wordmeta,Noun,"명부, 출석부",a list of names,rolls,School & Learning,W000000050,S000000001,bun
roll,B1,LCMS_0729_0727_wordmeta,Noun,빵,"a small, round piece of bread",rolls,Food & Drink,W000000050,S000000002,bun
roll,B1,LCMS_0729_0727_wordmeta,Verb,구르다,to move by turning over and over,rolls,Actions & Verbs,W000000050,S000000003,bun
roll,B1,LCMS_0729_0727_wordmeta,Verb,굴리다,to make something turn over and over,rolls,Actions & Verbs,W000000050,S000000004,bun
i,Pre A1,LCMS_0729_0727_wordmeta,Pronoun,"나, 저",used by the speaker to talk about himself or herself,i,Grammar & Function Words,W000000051,S000000001,
turn,A2,LCMS_0729_0727_wordmeta,Noun,길이 굽은 곳,a bend in a road or path,"turned,turns,turning",Places & Transport,W000000054,S000000001,"become,change"
turn,A2,LCMS_0729_0727_wordmeta,Noun,무언가를 할 차례,your chance to do something,"turned,turns,turning",Abstract Concepts,W000000054,S000000002,"become,change"
turn,A2,LCMS_0729_0727_wordmeta,Verb,돌다,to move around in a circle,"turned,turns,turning",Actions & Verbs,W000000054,S000000003,"become,change"
turn,A2,LCMS_0729_0727_wordmeta,Verb,돌리다,to make something move in a circle,"turned,turns,turning",Actions & Verbs,W000000054,S000000004,"become,change"
turn,A2,LCMS_0729_0727_wordmeta,Verb,방향을 바꾸다,to change the direction you are going,"turned,turns,turning",Actions & Verbs,W000000054,S000000005,"become,change"
turn,A2,LCMS_0729_0727_wordmeta,Verb,"~이 되다, ~한 상태로 변하다",to become something new or different,"turned,turns,turning",Actions & Verbs,W000000054,S000000006,"become,change"
gold,A2,LCMS_0729_0727_wordmeta,Noun,"금, 황금",a valuable shiny yellow metal,,Home & Objects,W000000057,S000000001,
gold,A2,LCMS_0729_0727_wordmeta,Noun,"금색, 황금색",the shiny yellow color of gold,,Colors & Shapes,W000000057,S000000002,
gold,A2,LCMS_0729_0727_wordmeta,Adjective,금으로 만든,made from or covered with gold,gold,Colors & Shapes,W000000057,S000000003,"golden,gilded"
gold,A2,LCMS_0729_0727_wordmeta,Adjective,금색의,having a bright yellow color like gold,,Colors & Shapes,W000000057,S000000004,golden
result,B1,LCMS_0729_0727_wordmeta,Noun,"결과, 결론",something that happens because of something else,results,Abstract Concepts,W000000058,S000000001,"outcome,consequence,effect"
result,B1,LCMS_0729_0727_wordmeta,Verb,일어나다,to happen because of something else,results,Actions & Verbs,W000000058,S000000002,"outcome,consequence,effect"
opposition,B2,LCMS_0729_0727_wordmeta,Noun,"반대, 저항",when people do not agree with something,oppositions,Abstract Concepts,W000000059,S000000001,"resistance,disagreement,protest"
opposition,B2,LCMS_0729_0727_wordmeta,Noun,반대편,the group of people who are against something,oppositions,Abstract Concepts,W000000059,S000000002,"resistance,disagreement,protest"
golf,A2,LCMS_0729_0727_wordmeta,Noun,골프 (운동),a game where you hit a small ball with clubs,,Actions & Verbs,W000000060,S000000001,
golf,A2,LCMS_0729_0727_wordmeta,Verb,골프를 치다,to play the game of golf,,Actions & Verbs,W000000060,S000000002,
same,A2,LCMS_0729_0727_wordmeta,Adjective,"같은, 똑같은","exactly alike, not different",,Abstract Concepts,W000000063,S000000001,"identical,alike,similar"
selfish,B1,LCMS_0729_0727_wordmeta,Adjective,주로,concerned chiefly or only with yourself and your advantage to the exclusion of others,selfish,Abstract Concepts,W000000065,S000000001,
after,A1,LCMS_0729_0727_wordmeta,Adverb,"나중에, 그 뒤에",later in time or next,,Grammar & Function Words,W000000068,S000000001,"following,past"
after,A1,LCMS_0729_0727_wordmeta,Conjunction,~한 후에,used to say when something happens,,Grammar & Function Words,W000000068,S000000002,"following,past"
after,A1,LCMS_0729_0727_wordmeta,Preposition,"~후에, ~뒤에",later than something in time or place,,Grammar & Function Words,W000000068,S000000003,"following,past"
connect,B1,LCMS_0729_0727_wordmeta,Verb,"연결하다, 이어주다",to join things together,"connected,connects,connecting",Actions & Verbs,W000000070,S000000001,"join,link,attach"
rational,C1,LCMS_0729_0727_wordmeta,Adjective,"생각을 잘하는, 이치에 맞는",based on good sense and clear thinking,"more rational,most rational",Abstract Concepts,W000000072,S000000001,"logical,reasonable,sensible"
hand,Pre A1,LCMS_0729_0727_wordmeta,Noun,손,the part at the end of your arm with fingers,hands,Body & Senses,W000000073,S000000001,
hand,Pre A1,LCMS_0729_0727_wordmeta,Noun,시계 바늘,a long thin part on a clock that shows the time,hands,Home & Objects,W000000073,S000000002,
hand,Pre A1,LCMS_0729_0727_wordmeta,Verb,건네주다,to give something to someone using your hand,hands,Actions & Verbs,W000000073,S000000003,
a,Pre A1,LCMS_0729_0727_wordmeta,Article,"~당, ~마다",used to show how often or how much,,Grammar & Function Words,W000000076,S000000001,one
a,Pre A1,LCMS_0729_0727_wordmeta,Article,어떤,used before a noun to mean any one,,Grammar & Function Words,W000000076,S000000002,one
a,Pre A1,LCMS_0729_0727_wordmeta,Article,하나의,used before a noun to mean one,,Grammar & Function Words,W000000076,S000000003,one
stomach-ache,A1,LCMS_0729_0727_wordmeta,Noun,배가 아픈 것,pain in your stomach,stomach-aches,Health & Body,W000000078,S000000001,"bellyache,tummy ache"
lunchtime,B1,LCMS_0729_0727_wordmeta,Noun,점심 시간,the time when people eat lunch,lunchtimes,Numbers & Time,W000000079,S000000001,"noon,midday"
salt,A2,LCMS_0729_0727_wordmeta,Noun,소금,a white powder used to make food taste salty,,Food & Drink,W000000081,S000000001,
salt,A2,LCMS_0729_0727_wordmeta,Verb,소금을 치다,to add salt to food,,Food & Drink,W000000081,S000000002,
artistic,B2,LCMS_0729_0727_wordmeta,Adjective,예술적인,having skill or talent in art,"more artistic,most artistic",Abstract Concepts,W000000088,S000000001,"creative,aesthetic"
artistic,B2,LCMS_0729_0727_wordmeta,Adjective,"예술적인, 미술의","related to art, or good at making art","more artistic,most artistic",Abstract Concepts,W000000088,S000000002,"creative,aesthetic"
blood,B1,LCMS_0729_0727_wordmeta,Noun,"피, 붉은 액체",the red liquid in your body,,Health & Body,W000000090,S000000001,
straight,A1,LCMS_0729_0727_wordmeta,Adjective,"곧은, 똑바른",not bending or curving,"straighter,straightest",Colors & Shapes,W000000094,S000000001,"direct,level,even"
straight,A1,LCMS_0729_0727_wordmeta,Adjective,"정리된, 깨끗한",neat and in order,"straighter,straightest",Abstract Concepts,W000000094,S000000002,"direct,level,even"
straight,A1,LCMS_0729_0727_wordmeta,Adjective,"정직한, 솔직한",honest and open,"straighter,straightest",Abstract Concepts,W000000094,S000000003,"direct,level,even"
straight,A1,LCMS_0729_0727_wordmeta,Adverb,"똑바로, 곧장",in a direct line,"straighter,straightest",Grammar & Function Words,W000000094,S000000004,"direct,level,even"
the,Pre A1,LCMS_0729_0727_wordmeta,Article,"그, 저",used before a noun to show it is specific or already known,,Grammar & Function Words,W000000095,S000000001,
halt,C1,LCMS_0729_0727_wordmeta,Noun,"멈춤, 중단",a stop or a pause,"halted,halts,halting",Actions & Verbs,W000000096,S000000001,"stop,cease,pause"
halt,C1,LCMS_0729_0727_wordmeta,Verb,"멈추다, 그만두다",to stop moving or doing something,"halted,halts,halting",Actions & Verbs,W000000096,S000000002,"stop,cease,pause"
sale,B1,LCMS_0729_0727_wordmeta,Noun,판매,the act of selling something,sales,Shopping & Money,W000000097,S000000001,"discount,bargain,selling"
sale,B1,LCMS_0729_0727_wordmeta,Noun,할인 판매,a time when things are sold at a lower price,sales,Shopping & Money,W000000097,S000000002,"discount,bargain,selling"
outdoors,B1,LCMS_0729_0727_wordmeta,Adverb,"야외에서, 밖에서",in a place outside a building,,Grammar & Function Words,W000000098,S000000001,"outside,out"
exciting,A1,LCMS_0729_0727_wordmeta,Adjective,"신나는, 재미있는",making you feel very happy,"more exciting,most exciting",Feelings & Emotions,W000000102,S000000001,"thrilling,stimulating,fascinating"
sunset,B1,LCMS_0729_0727_wordmeta,Noun,해넘이,the time when the sun goes down in the evening,sunsets,Nature & Weather,W000000103,S000000001,"dusk,twilight"
obvious,B1,LCMS_0729_0727_wordmeta,Adjective,"아주 분명한, 확실한",easy to see or understand,"more obvious,most obvious",Abstract Concepts,W000000104,S000000001,"clear,evident,plain,apparent"
information,A2,LCMS_0729_0727_wordmeta,Noun,"정보, 지식",facts or knowledge about something,,Technology & Media,W000000105,S000000001,"data,facts,details,knowledge"
regain,C1,LCMS_0729_0727_wordmeta,Verb,다시 얻다,to get something back again,"regained,regains,regaining",Actions & Verbs,W000000106,S000000001,"recover,retrieve,get back"
resolve,B2,LCMS_0729_0727_wordmeta,Noun,무엇을 하려는 굳은 마음,a strong will to do something,"resolved,resolves,resolving",Abstract Concepts,W000000107,S000000001,"decide,determine,pledge"
resolve,B2,LCMS_0729_0727_wordmeta,Verb,무엇을 하겠다고 굳게 마음먹다,to make a strong decision to do something,"resolved,resolves,resolving",Actions & Verbs,W000000107,S000000002,"decide,determine,pledge"
resolve,B2,LCMS_0729_0727_wordmeta,Verb,문제를 풀거나 답을 찾다,to find an answer to a problem,"resolved,resolves,resolving",Actions & Verbs,W000000107,S000000003,"decide,determine,pledge"
put up,B1,LCMS_0729_0727_wordmeta,Verb,세우다,to build something or make it stand up,"puts up,put up,putting up",Actions & Verbs,W000000108,S000000001,"erect,raise"
put up,B1,LCMS_0729_0727_wordmeta,Verb,"걸다, 붙이다",to hang something or put it on a wall,"puts up,put up,putting up",Actions & Verbs,W000000108,S000000002,"erect,raise"
put up,B1,LCMS_0729_0727_wordmeta,Verb,"참다, 견디다",to accept something difficult without complaining,"puts up,put up,putting up",Actions & Verbs,W000000108,S000000003,"erect,raise"
good,Pre A1,LCMS_0729_0727_wordmeta,Adjective,~을 잘하는,able to do something well,,Abstract Concepts,W000000111,S000000001,"great,excellent,well done"
good,Pre A1,LCMS_0729_0727_wordmeta,Adjective,"말을 잘 듣는, 얌전한",behaving well and not naughty,,Abstract Concepts,W000000111,S000000002,"great,excellent,well done"
good,Pre A1,LCMS_0729_0727_wordmeta,Adjective,"좋은, 훌륭한",of a high quality or standard,,Abstract Concepts,W000000111,S000000003,"great,excellent,well done"
good,Pre A1,LCMS_0729_0727_wordmeta,Adjective,착한,kind and helpful to others,,Abstract Concepts,W000000111,S000000004,"great,excellent,well done"
good,Pre A1,LCMS_0729_0727_wordmeta,Interjection,"좋다!, 잘했어",used to show you like something or agree,,Feelings & Emotions,W000000111,S000000005,"great,excellent,well done"
good,Pre A1,LCMS_0729_0727_wordmeta,Noun,좋은 것,something that is kind or right,,Abstract Concepts,W000000111,S000000006,"great,excellent,well done"
deploy,C1,LCMS_0729_0727_wordmeta,Verb,배치하다,to move people or things into a position,"deployed,deploys,deploying",Actions & Verbs,W000000112,S000000001,"position,station,post"
deploy,C1,LCMS_0729_0727_wordmeta,Verb,사용하다,to use something for a special reason,"deployed,deploys,deploying",Actions & Verbs,W000000112,S000000002,"position,station,post"
empty,A2,LCMS_0729_0727_wordmeta,Adjective,아무것도 없는,with nothing inside,"emptier,emptiest",Abstract Concepts,W000000113,S000000001,"hollow,vacant,bare"
empty,A2,LCMS_0729_0727_wordmeta,Verb,비우다,to take everything out of something,"emptier,emptiest",Actions & Verbs,W000000113,S000000002,"hollow,vacant,bare"
empty,A2,LCMS_0729_0727_wordmeta,Verb,쏟다,to pour liquid or small things out,"emptier,emptiest",Actions & Verbs,W000000113,S000000003,"hollow,vacant,bare"
reproduce,C1,LCMS_0729_0727_wordmeta,Verb,똑같이 만들다,to make an exact copy of something,"reproduced,reproduces,reproducing",Actions & Verbs,W000000115,S000000001,"multiply,breed"
reproduce,C1,LCMS_0729_0727_wordmeta,Verb,새끼를 낳거나 식물이 자라다,"to make new babies, animals, or plants","reproduced,reproduces,reproducing",Science & Discovery,W000000115,S000000002,"multiply,breed"
tie,A2,LCMS_0729_0727_wordmeta,Noun,넥타이,a long piece of cloth worn around the neck,ties,Clothes,W000000118,S000000001,"draw,deadlock"
tie,A2,LCMS_0729_0727_wordmeta,Noun,"동점, 무승부",when two teams or players have the same score,ties,Abstract Concepts,W000000118,S000000002,"draw,deadlock"
tie,A2,LCMS_0729_0727_wordmeta,Verb,끈으로 묶다,to join or close with a knot,ties,Actions & Verbs,W000000118,S000000003,"draw,deadlock"
tie,A2,LCMS_0729_0727_wordmeta,Verb,"연결하다, 잇다",to connect two things together,ties,Actions & Verbs,W000000118,S000000004,"draw,deadlock"
besides,B1,LCMS_0729_0727_wordmeta,Preposition,"~외에, ~말고",used to mean 'except for',,Grammar & Function Words,W000000120,S000000001,"except for,apart from,in addition to"
besides,B1,LCMS_0729_0727_wordmeta,Preposition,~뿐만 아니라,used to mean 'in addition to',,Grammar & Function Words,W000000120,S000000002,"except for,apart from,in addition to"
besides,B1,LCMS_0729_0727_wordmeta,Adverb,"게다가, 또한",in addition to what was said,,Grammar & Function Words,W000000120,S000000003,"except for,apart from,in addition to"
tin,B1,LCMS_0729_0727_wordmeta,Noun,"깡통, 양철통",a metal container for food,,Home & Objects,W000000122,S000000001,
tin,B1,LCMS_0729_0727_wordmeta,Noun,주석,a shiny white metal,,Science & Discovery,W000000122,S000000002,
tin,B1,LCMS_0729_0727_wordmeta,Verb,통조림으로 만들다,to put food into a metal can,,Food & Drink,W000000122,S000000003,
serious,B1,LCMS_0729_0727_wordmeta,Adjective,"심한, 위험한",very bad or dangerous,"more serious,most serious",Health & Body,W000000123,S000000001,"severe,grave,critical,dangerous"
serious,B1,LCMS_0729_0727_wordmeta,Adjective,"진지한, 심각한",not joking and thinking deeply,"more serious,most serious",Feelings & Emotions,W000000123,S000000002,"severe,grave,critical,dangerous"
tip,B1,LCMS_0729_0727_wordmeta,Noun,도움이 되는 조언,a helpful idea or piece of advice,tips,Abstract Concepts,W000000124,S000000001,"end,point,peak"
tip,B1,LCMS_0729_0727_wordmeta,Noun,"봉사료, 팁",extra money given for good service,tips,Shopping & Money,W000000124,S000000002,"end,point,peak"
tip,B1,LCMS_0729_0727_wordmeta,Noun,뾰족한 끝 부분,"the very end of something, often pointed",tips,Home & Objects,W000000124,S000000003,"end,point,peak"
tip,B1,LCMS_0729_0727_wordmeta,Verb,"기울이다, 넘어뜨리다",to make something lean or fall over,tips,Actions & Verbs,W000000124,S000000004,"end,point,peak"
tip,B1,LCMS_0729_0727_wordmeta,Verb,팁을 주다,to give someone extra money for service,tips,Shopping & Money,W000000124,S000000005,"end,point,peak"
laugh,A1,LCMS_0729_0727_wordmeta,Noun,"웃음, 웃음소리",the sound you make when you laugh,laughs,Feelings & Emotions,W000000125,S000000001,"chuckle,giggle,snicker"
laugh,A1,LCMS_0729_0727_wordmeta,Verb,웃다,to make happy sounds with your voice,laughs,Feelings & Emotions,W000000125,S000000002,"chuckle,giggle,snicker"
fantasy,B2,LCMS_0729_0727_wordmeta,Noun,상상 속 이야기,something you imagine that is not real,fantasies,Abstract Concepts,W000000128,S000000001,"imagination,dream,make-believe"
sand,Pre A1,LCMS_0729_0727_wordmeta,Noun,모래,"very small pieces of rock, found on beaches",sands,Nature & Weather,W000000135,S000000001,grit
aside,B2,LCMS_0729_0727_wordmeta,Adverb,"한쪽으로, 옆으로",to one side or away from others,,Grammar & Function Words,W000000137,S000000001,"apart,separately"
aside,B2,LCMS_0729_0727_wordmeta,Adverb,옆으로,a line spoken by an actor to the audience but not intended for others on the stage,aside,Grammar & Function Words,W000000137,S000000002,
gorgeous,B1,LCMS_0729_0727_wordmeta,Adjective,"아주 멋진, 아름다운","very, very beautiful or lovely","more gorgeous,most gorgeous",Abstract Concepts,W000000139,S000000001,"beautiful,stunning,splendid"
harm,B2,LCMS_0729_0727_wordmeta,Noun,"해로움, 손해",hurt or damage to someone or something,"harmed,harms,harming",Abstract Concepts,W000000143,S000000001,"hurt,injure,damage,ruin"
harm,B2,LCMS_0729_0727_wordmeta,Verb,"해를 끼치다, 다치게 하다",to hurt or damage someone or something,"harmed,harms,harming",Actions & Verbs,W000000143,S000000002,"hurt,injure,damage,ruin"
inmate,C1,LCMS_0729_0727_wordmeta,Noun,수감자,a person who lives in a prison,inmates,Society & Community,W000000146,S000000001,"prisoner,patient,resident"
inmate,C1,LCMS_0729_0727_wordmeta,Noun,입원 환자,a person who lives in a hospital,inmates,Health & Body,W000000146,S000000002,"prisoner,patient,resident"
rope,B1,LCMS_0729_0727_wordmeta,Noun,"밧줄, 끈","a very thick, strong string",ropes,Home & Objects,W000000147,S000000001,"cord,string,cable"
rope,B1,LCMS_0729_0727_wordmeta,Verb,밧줄로 묶다,to tie something with a rope,ropes,Actions & Verbs,W000000147,S000000002,"cord,string,cable"
embody,C1,LCMS_0729_0727_wordmeta,Verb,"나타내다, 보여주다",to show an idea or quality very clearly,"embodied,embodies,embodying",Abstract Concepts,W000000148,S000000001,"represent,manifest,personify"
representation,C1,LCMS_0729_0727_wordmeta,Noun,무엇을 보여주는 것,"a way to show something, like a picture or a drawing",representations,Abstract Concepts,W000000149,S000000001,"depiction,portrayal,symbol"
representation,C1,LCMS_0729_0727_wordmeta,Noun,누구를 대신하는 것,when someone speaks or acts for a group,representations,Abstract Concepts,W000000149,S000000002,"depiction,portrayal,symbol"
motivate,B2,LCMS_0729_0727_wordmeta,Verb,무엇을 하고 싶게 하다,to give someone a reason to do something,"motivated,motivates,motivating",Actions & Verbs,W000000156,S000000001,"encourage,inspire,stimulate"
motivate,B2,LCMS_0729_0727_wordmeta,Verb,"용기를 주다, 격려하다",to make someone feel brave or want to try,"motivated,motivates,motivating",Actions & Verbs,W000000156,S000000002,"encourage,inspire,stimulate"
root,B2,LCMS_0729_0727_wordmeta,Noun,뿌리,the part of a plant under the ground,"rooted,roots,rooting",Nature & Weather,W000000158,S000000001,"embed,establish"
root,B2,LCMS_0729_0727_wordmeta,Noun,"시작, 근원",the place where something starts,"rooted,roots,rooting",Abstract Concepts,W000000158,S000000002,"embed,establish"
root,B2,LCMS_0729_0727_wordmeta,Verb,뿌리내리다,to grow roots in the ground,"rooted,roots,rooting",Actions & Verbs,W000000158,S000000003,"embed,establish"
root,B2,LCMS_0729_0727_wordmeta,Verb,자리잡다,to settle in a place,"rooted,roots,rooting",Actions & Verbs,W000000158,S000000004,"embed,establish"
hard,A2,LCMS_0729_0727_wordmeta,Adjective,"단단한, 딱딱한","firm and solid, not soft","harder,hardest",Abstract Concepts,W000000159,S000000001,"difficult,tough,challenging"
hard,A2,LCMS_0729_0727_wordmeta,Adjective,"어려운, 힘든",not easy to do or understand,"harder,hardest",Abstract Concepts,W000000159,S000000002,"difficult,tough,challenging"
hard,A2,LCMS_0729_0727_wordmeta,Adverb,세게,with great force,"harder,hardest",Abstract Concepts,W000000159,S000000003,"difficult,tough,challenging"
hard,A2,LCMS_0729_0727_wordmeta,Adverb,열심히,with great effort,"harder,hardest",Abstract Concepts,W000000159,S000000004,"difficult,tough,challenging"
projection,C1,LCMS_0729_0727_wordmeta,Noun,화면에 비춤,an image shown on a surface,projections,Technology & Media,W000000160,S000000001,display
projection,C1,LCMS_0729_0727_wordmeta,Noun,예상,a guess about what will happen,projections,Abstract Concepts,W000000160,S000000002,display
projection,C1,LCMS_0729_0727_wordmeta,Noun,튀어나온 것,something that sticks out from a surface,projections,Abstract Concepts,W000000160,S000000003,display
multiply,B1,LCMS_0729_0727_wordmeta,Verb,곱하다,to add a number to itself a certain number of times,"multiplied,multiplies,multiplying",Actions & Verbs,W000000163,S000000001,"increase,grow,reproduce,proliferate"
multiply,B1,LCMS_0729_0727_wordmeta,Verb,"늘리다, 불어나다",to make something grow in number or amount,"multiplied,multiplies,multiplying",Actions & Verbs,W000000163,S000000002,"increase,grow,reproduce,proliferate"
tonne,B2,LCMS_0729_0727_wordmeta,Noun,"미터 톤, 1000킬로그램",a weight of one thousand kilograms,tonnes,Numbers & Time,W000000164,S000000001,metric ton
effectiveness,C1,LCMS_0729_0727_wordmeta,Noun,얼마나 좋은 결과가 나는지,how well something works and makes good results,,Abstract Concepts,W000000166,S000000001,"efficacy,potency"
roof,A1,LCMS_0729_0727_wordmeta,Noun,지붕,the top part of a building,roofs,Home & Objects,W000000167,S000000001,
